,dates,weekday,end_of_week,end_of_month
440,2014-02-28,4,True,True
441,2014-03-03,0,False,False
442,2014-03-04,1,False,False
443,2014-03-05,2,False,False
444,2014-03-06,3,False,False
445,2014-03-07,4,True,False
446,2014-03-10,0,False,False
447,2014-03-11,1,False,False
448,2014-03-12,2,False,False
449,2014-03-13,3,False,False
450,2014-03-14,4,True,False
451,2014-03-17,0,False,False
452,2014-03-18,1,False,False
453,2014-03-19,2,False,False
454,2014-03-20,3,False,False
455,2014-03-21,4,True,False
456,2014-03-24,0,False,False
457,2014-03-25,1,False,False
458,2014-03-26,2,False,False
459,2014-03-27,3,False,False
460,2014-03-28,4,True,False
461,2014-03-31,0,False,True
462,2014-04-01,1,False,False
463,2014-04-02,2,False,False
464,2014-04-03,3,False,False
465,2014-04-04,4,True,False
466,2014-04-07,0,False,False
467,2014-04-08,1,False,False
468,2014-04-09,2,False,False
469,2014-04-10,3,False,False
470,2014-04-11,4,True,False
471,2014-04-14,0,False,False
472,2014-04-15,1,False,False
473,2014-04-16,2,False,False
474,2014-04-17,3,False,False
475,2014-04-21,0,False,False
476,2014-04-22,1,False,False
477,2014-04-23,2,False,False
478,2014-04-24,3,False,False
479,2014-04-25,4,True,False
480,2014-04-28,0,False,False
481,2014-04-29,1,False,False
482,2014-04-30,2,False,True
483,2014-05-01,3,False,False
484,2014-05-02,4,True,False
485,2014-05-05,0,False,False
486,2014-05-06,1,False,False
487,2014-05-07,2,False,False
488,2014-05-08,3,False,False
489,2014-05-09,4,True,False
490,2014-05-12,0,False,False
491,2014-05-13,1,False,False
492,2014-05-14,2,False,False
493,2014-05-15,3,False,False
494,2014-05-16,4,True,False
495,2014-05-19,0,False,False
496,2014-05-20,1,False,False
497,2014-05-21,2,False,False
498,2014-05-22,3,False,False
499,2014-05-23,4,True,False
500,2014-05-27,1,False,False
501,2014-05-28,2,False,False
502,2014-05-29,3,False,False
503,2014-05-30,4,True,True
504,2014-06-02,0,False,False
505,2014-06-03,1,False,False
506,2014-06-04,2,False,False
507,2014-06-05,3,False,False
508,2014-06-06,4,True,False
509,2014-06-09,0,False,False
510,2014-06-10,1,False,False
511,2014-06-11,2,False,False
512,2014-06-12,3,False,False
513,2014-06-13,4,True,False
514,2014-06-16,0,False,False
515,2014-06-17,1,False,False
516,2014-06-18,2,False,False
517,2014-06-19,3,False,False
518,2014-06-20,4,True,False
519,2014-06-23,0,False,False
520,2014-06-24,1,False,False
521,2014-06-25,2,False,False
522,2014-06-26,3,False,False
523,2014-06-27,4,True,False
524,2014-06-30,0,False,True
525,2014-07-01,1,False,False
526,2014-07-02,2,False,False
527,2014-07-03,3,False,False
528,2014-07-07,0,False,False
529,2014-07-08,1,False,False
530,2014-07-09,2,False,False
531,2014-07-10,3,False,False
532,2014-07-11,4,True,False
533,2014-07-14,0,False,False
534,2014-07-15,1,False,False
535,2014-07-16,2,False,False
536,2014-07-17,3,False,False
537,2014-07-18,4,True,False
538,2014-07-21,0,False,False
539,2014-07-22,1,False,False
540,2014-07-23,2,False,False
541,2014-07-24,3,False,False
542,2014-07-25,4,True,False
543,2014-07-28,0,False,False
544,2014-07-29,1,False,False
545,2014-07-30,2,False,False
546,2014-07-31,3,False,True
547,2014-08-01,4,True,False
