,SOFR30DAYAVG,SOFR,EFFR,AAA,DBAA,T10YIE,T5YIE,MORTGAGE30US,DGS30,DGS1,BAMLH0A0HYM2EY,SOFRVOL,RECPROUSM156N,SAHMREALTIME,ab_bond_spread,junk_bond_spread,int_spread
2010-09-21,,,-0.009999999999999981,0.0,-0.08000000000000007,0.050000000000000044,0.050000000000000044,0.0,-0.08000000000000007,0.0,-0.03000000000000025,,0.22,0.03,1.13,3.3099999999999996,3.5300000000000002
2010-09-22,,,0.009999999999999981,0.0,-0.04999999999999982,-0.010000000000000009,0.030000000000000027,0.0,-0.04999999999999982,-0.010000000000000009,0.009999999999999787,,0.22,0.03,1.08,3.3199999999999994,3.49
2010-09-23,,,-0.009999999999999981,0.0,-0.010000000000000675,-0.030000000000000027,-0.030000000000000027,0.0,-0.010000000000000231,0.0,0.03000000000000025,,0.22,0.03,1.0699999999999994,3.3499999999999996,3.48
2010-09-24,,,0.009999999999999981,0.0,0.07000000000000028,0.020000000000000018,0.020000000000000018,0.0,0.06000000000000005,0.0,-0.019999999999999574,,0.22,0.03,1.1399999999999997,3.33,3.54
2010-09-27,,,-0.01999999999999999,0.0,-0.08999999999999986,-0.06000000000000005,-0.020000000000000018,0.0,-0.08999999999999986,0.010000000000000009,-0.020000000000000462,,0.22,0.03,1.0499999999999998,3.3099999999999996,3.4400000000000004
2010-09-28,,,0.0,0.0,-0.040000000000000036,0.040000000000000036,0.020000000000000018,0.0,-0.040000000000000036,0.0,-0.04999999999999982,,0.22,0.03,1.0099999999999998,3.26,3.4000000000000004
2010-09-29,,,0.0,0.0,0.040000000000000036,-0.010000000000000009,-0.010000000000000009,0.0,0.029999999999999805,0.010000000000000009,-0.040000000000000036,,0.22,0.03,1.0499999999999998,3.2199999999999998,3.42
2010-09-30,,,-0.04000000000000001,0.0,0.0,0.0,0.0,-0.04999999999999982,0.0,0.0,0.03000000000000025,,0.22,0.03,1.0499999999999998,3.25,3.42
2010-10-01,,,0.05000000000000002,0.14999999999999947,0.03000000000000025,0.010000000000000009,0.030000000000000027,0.0,0.020000000000000018,-0.010000000000000009,-0.04999999999999982,,0.12,0.07,0.9300000000000006,3.0500000000000007,3.45
2010-10-04,,,0.0,0.0,-0.010000000000000675,-0.010000000000000009,0.0,0.0,0.0,0.0,-0.03000000000000025,,0.12,0.07,0.9199999999999999,3.0200000000000005,3.45
2010-10-05,,,0.0,0.0,0.010000000000000675,0.07000000000000006,0.06999999999999984,0.0,0.03000000000000025,-0.010000000000000009,-0.07000000000000028,,0.12,0.07,0.9300000000000006,2.95,3.49
2010-10-06,,,-0.010000000000000009,0.0,-0.07000000000000028,0.039999999999999813,0.050000000000000044,0.0,-0.07000000000000028,-0.010000000000000009,-0.07000000000000028,,0.12,0.07,0.8600000000000003,2.88,3.4299999999999997
2010-10-07,,,-0.010000000000000009,0.0,0.04999999999999982,-0.010000000000000009,-0.040000000000000036,-0.05000000000000071,0.050000000000000266,-0.009999999999999981,-0.040000000000000036,,0.12,0.07,0.9100000000000001,2.84,3.49
2010-10-08,,,0.0,0.0,0.03000000000000025,0.08000000000000007,0.07000000000000006,0.0,0.029999999999999805,-0.020000000000000018,-0.02999999999999936,,0.12,0.07,0.9400000000000004,2.8100000000000005,3.54
2010-10-11,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12,0.07,0.9400000000000004,2.8100000000000005,3.54
2010-10-12,,,0.0,0.0,0.040000000000000036,-0.010000000000000009,0.0,0.0,0.04999999999999982,0.0,-0.009999999999999787,,0.12,0.07,0.9800000000000004,2.8000000000000007,3.59
2010-10-13,,,0.0,0.0,0.019999999999999574,0.07000000000000006,0.09000000000000008,0.0,0.040000000000000036,0.010000000000000009,-0.07000000000000028,,0.12,0.07,1.0,2.7300000000000004,3.6199999999999997
2010-10-14,,,0.010000000000000009,0.0,0.07000000000000028,0.08999999999999986,0.09999999999999987,-0.07999999999999918,0.07000000000000028,0.0,0.009999999999999787,,0.12,0.07,1.0700000000000003,2.74,3.69
2010-10-15,,,0.010000000000000009,0.0,0.09999999999999964,-0.020000000000000018,-0.08999999999999986,0.0,0.06999999999999984,0.0,0.009999999999999787,,0.12,0.07,1.17,2.75,3.76
2010-10-18,,,-0.010000000000000009,0.0,-0.0699999999999994,-0.040000000000000036,-0.050000000000000044,0.0,-0.04999999999999982,0.010000000000000009,0.0,,0.12,0.07,1.1000000000000005,2.75,3.7
2010-10-19,,,0.0,0.0,-0.03000000000000025,0.010000000000000231,-0.020000000000000018,0.0,-0.03000000000000025,-0.010000000000000009,0.0,,0.12,0.07,1.0700000000000003,2.75,3.6799999999999997
2010-10-20,,,0.0,0.0,-0.009999999999999787,-0.020000000000000018,-0.030000000000000027,0.0,-0.009999999999999787,0.0,0.020000000000000462,,0.12,0.07,1.0600000000000005,2.7700000000000005,3.67
2010-10-21,,,0.0,0.0,0.02999999999999936,0.029999999999999805,0.040000000000000036,0.019999999999999574,0.06000000000000005,0.0,-0.03000000000000025,,0.12,0.07,1.0899999999999999,2.74,3.73
