,EFFR,FEDFUNDS,CSUSHPINSA,T10YIEM,T5YIEM,PSAVERT,CIVPART,TB3MS,REAINTRATREARAT10Y,MORTGAGE30US,IPUTIL,GASREGW,T10Y3MM,UNRATE,H8B1058NCBCMG,RECPROUSM156N,SAHMREALTIME,CSUSHPINSA,INDPRO,HOUST,TOTALSA,MSACSR,DSPIC96,RSXFS,PMSAVE
2014-08-29,-0.009999999999999995,0.0,0.3149999999999977,-0.05999999999999961,-0.1299999999999999,-0.20000000000000018,0.0,0.0,0.058410749999999956,-0.020000000000000462,0.00845465384635058,-0.024018084204577517,2.39,6.1,0.7,0.16,-0.07,0.0018846588767433836,-0.0015571460945394966,-0.09308755760368659,-0.0021994559240609,-0.12903225806451613,0.004768174770745759,0.00836645376799705,-0.023070469798657678
2014-09-30,0.0,0.0,-0.20999999999997954,-0.13000000000000034,-0.17000000000000015,0.20000000000000018,-0.10000000000000142,-0.009999999999999998,-0.06854576999999995,0.10000000000000053,0.021533334145222627,-0.02895193977996524,2.51,5.9,12.0,0.04,-0.07,-0.0012540757461749763,0.0031308386634221197,0.03963414634146334,-0.016242241429317295,0.0,0.0032955188697534332,-0.004396458294992134,0.03799914126234438
2014-10-31,0.0,0.0,-0.3310000000000457,-0.1499999999999999,-0.17999999999999994,-0.10000000000000053,0.10000000000000142,0.0,0.12010476999999997,-0.2200000000000002,0.006362175061148001,-0.08884913536076333,2.28,5.7,-4.5,0.04,-0.13,-0.0019791442443378715,0.0001126458569631339,0.04985337243401755,-0.011970045403620455,-0.0185185185185186,0.004366710977834032,0.002344006736772819,-0.020992761116856218
2014-11-28,0.009999999999999995,0.0,-0.2529999999999859,-0.040000000000000036,-0.010000000000000009,0.20000000000000018,0.0,0.0,0.012335560000000023,-0.009999999999999787,0.03019710201011283,-0.07689790575916222,2.31,5.8,10.9,0.02,-0.1,-0.0015157597071527862,0.0063210511393427815,-0.06797020484171323,0.011518262115063349,0.07547169811320753,0.005194185590174927,0.0023846297676586303,0.035597338121897026
2014-12-31,-0.020000000000000004,0.03,-0.19799999999997908,-0.17999999999999994,-0.20999999999999996,0.40000000000000036,-0.10000000000000142,0.009999999999999998,-0.32857489,-0.10000000000000009,-0.02845241369265228,-0.1850407656859271,2.18,5.6,10.1,0.14,-0.1,-0.0011880475219007147,-5.4997964110348185e-05,0.07192807192807193,0.013511121600094267,-0.10526315789473695,0.0067137214073553775,-0.008483498063105,0.05966952264381886
2015-01-30,0.0,-0.009999999999999995,-0.21000000000000796,-0.08999999999999986,-0.07000000000000006,0.2999999999999998,0.10000000000000142,0.0,0.32521743,-0.20999999999999996,0.009383799778079016,-0.11091779034362759,1.85,5.7,5.7,1.38,0.0,-0.0012615491823960712,-0.00782171960109812,0.011183597390493905,-0.01548492257538725,-0.05882352941176472,0.005642371012509084,-0.007058768954817718,0.03830975069785336
2015-02-27,0.0,0.0,0.3809999999999718,0.10999999999999988,0.16000000000000014,0.09999999999999964,-0.19999999999999574,-0.009999999999999998,-0.17156242,0.13999999999999968,0.05149068438296678,0.14090019569471623,1.96,5.5,10.5,1.76,-0.1,0.0022917017539636486,-0.006541280772271674,-0.1834101382488479,-0.001005203405865629,-0.0625,0.0035615174635339475,-0.0015676544100662326,0.022897932696764656
2015-03-31,0.0,0.0,1.457000000000022,0.040000000000000036,0.11999999999999988,-0.39999999999999947,-0.10000000000000142,0.009999999999999998,0.21332503999999997,-0.10999999999999988,-0.02908973648897306,0.0497427101200687,2.01,5.4,4.0,1.36,-0.03,0.00874376624078077,-0.003204070824355698,0.08352144469525968,0.059129920094702415,0.1333333333333333,-0.0028707485043474312,0.016026099276031047,-0.05519303969548672
2015-04-30,0.020000000000000004,0.009999999999999995,1.8799999999999955,0.10000000000000009,0.13000000000000012,-0.10000000000000053,0.19999999999999574,-0.009999999999999998,-0.34138289999999993,-0.009999999999999787,-0.028108282979878108,0.04983660130718959,1.92,5.4,-0.3,0.98,-0.1,0.011184484502349878,-0.005696103079824044,0.23958333333333326,-0.011456354085168097,-0.039215686274509665,0.0021989315157513456,0.0007163873608801996,-0.0030695443645084586
2015-05-29,0.0,0.0,1.8799999999999955,0.010000000000000009,0.029999999999999805,-0.09999999999999964,0.10000000000000142,0.0,0.12359891999999995,0.18999999999999995,-0.011988213674422377,0.07937743190661495,2.18,5.6,3.6,0.96,0.0,0.011060775430958403,-0.004553356248271467,-0.09327731092436975,0.014472270902820883,0.020408163265306145,0.0016512350333264258,0.008273464065655878,-0.012797074954296161
2015-06-30,0.0,0.010000000000000009,1.600999999999999,-0.010000000000000009,-0.010000000000000009,-0.09999999999999964,-0.19999999999999574,0.0,0.019856360000000017,0.14999999999999947,0.00824527705705802,0.009733237202595557,2.34,5.3,4.9,0.7,-0.07,0.009316264183881318,-0.003025311808539155,0.1167747914735866,-0.003566453050989127,0.08000000000000007,0.0006021965117766204,0.0009559647636967483,-0.008089668615984369
2015-07-31,0.0,0.0,1.0460000000000207,-0.040000000000000036,-0.1399999999999999,-0.10000000000000053,-0.10000000000000142,0.009999999999999998,0.11329710000000004,-0.03999999999999959,-0.00647347092919226,-0.019992859692966825,2.29,5.2,4.1,0.38,-0.03,0.006030521588229698,0.006241161009215013,-0.0489626556016598,0.023712320340025794,-0.03703703703703709,0.0023621988008455386,0.008321870178825241,-0.015132160754642965
